a	یک (حرف تعریف نامعین)	a / ey
abacus	چرتکه	abakas
abandon	رها کردن؛ ترک کردن	abandan
abandonment	ترک؛ رهاسازی	abandanmant
abatement	کاهش؛ فروکش	abeytmant
abbey	خانقاه	abi
abc	الفبا؛ مبانی اولیه	eybisi
abdicate	کناره‌گیری کردن؛ واگذار کردن	abdakeyt
abdomen	شکم؛ بطن	abdoman / abdaman
abdominal	شکمی؛ بطنی	abdaamanel
abduct	ربودن	abdakt
abductor	آدمدزد؛ آدمربا	abdakter
abeyance	بی تکلیفی	abeyans
abiding	وفا کننده	abaiding
ability	توانایی	abiliti
abject	خوار و زار	abjekt
ablaze	افروخته	ableyz
able	قادر	eybel
abnegation	کف نفس	abnegeyshen
abnormal	غیر عادی	abnormel
abnormality	نابههنجاری	abnormaliti
abode	بودباش	abod
abolish	لغو کردن	abaalish
abolition	نسخ؛ برانداختگی	abalishen
abominable	مکروه	abaamanabel
abomination	عمل شنیع	abaamaneyshen
abort	سقط کردن؛ ریشه نکردن	abort
abortion	سقط جنین	aborshen
abortive	عقیم	abortiv
abound	زیاد بودن؛ وفور داشتن	abaund
about	درباره، حدوداً	abaut
above	بالای، بالاتر	abav
abraham	ابراهیم؛ ابراهیم پیامبر	eybraham
abrasion	خراش؛ سیش	abreyzhen
abridged	مجمل؛ تلخیص شده	abrijd
abroad	خارج از کشور	abrod
abrupt	تند؛ ناگهان	abrapt
abruptly	بی مقدمه	abraptli
abscess	آبسه	abses
absence	غیبت	absans
absent	غایب	absant
absentee	غیب؛ غیابی	absanti
absolute	مطلق؛ محض	absalut
absolutely	مطلقا؛ مطلقاً	absalutli
absorb	جذب کردن	abzorb
absorbent	جاذب؛ نشاف	abzorbant
absorption	جذب؛ انجذاب	abzorpshen / absorpshen
abstain	نکول کردن؛ خودداری کردن	absteyn
abstention	نکول	abstenchan
abstract	انتزاعی	abstrakt
abstraction	انتزاع؛ تجرید	abstrakshen
abstruse	غامض؛ مغلق	abstrus
absurd	پوچ	abserd
absurdity	مزخرف بودن	abserditi
abundance	فراوانی	abandans
abundant	انبوه؛ وافر	abandant
abundantly	بفراوانی	abandantli
abuse	سوء استفاده	abyus / abyuz
abusive	فحاش؛ سوء استعمال	abyusiv
abyss	مغاک؛ حضیض	abis
acacia	اقاقیا	akeysha
academic	تحصیلی؛ آکادمیک	akademik
academy	آکادمی	akadami
accelerate	تسریع کردن	akselereyt
accent	لهجه	aksent
accept	پذیرفتن	aksept
acceptable	پذیرفتنی؛ موجه	akseptabel
acceptance	پذیرش	akseptans
access	دسترسی؛ دستیابی	akses
accessible	قابل دسترس	aksesabel
accession	جلوس؛ جلوس کردن	akseshen
accessory	هم دست	akseseri
accident	تصادف	aksadant
accidental	عرضی؛ تصادفی	aksadentel / aksadenel
accidentally	تصادفی	aksadentali / aksadenali
acclamation	احسنت	aklameyshen
accommodate	جا دادن	akaamadeyt
accompaniment	دم گیری	akampnimant
accompany	توام کردن؛ بدرقه کردن	akampani
accomplice	دستیار؛ همداستان	akaamplas
accomplish	انجام دادن	akaamplish
accomplishment	دستاورد	akaamplishmant
accord	طیب خاطر	akord
accordance	مطابقت	akordans
accordingly	بر این اساس	akordingli
according to	طبق، بر اساس	akording tu / ti
account	حساب؛ گزارش	akaunt
accountability	مسئولیت‌پذیری	akauntabiliti / akaunabiliti
accountable	مسئول	akauntabel / akaunabel
accountant	حسابدار	akauntant
accounting	محاسبه؛ حسابداری	akaunting / akauning
accrue	منتج گردیدن	akru
accumulate	انباشت کردن	akyumyaleyt
accumulation	انباشت	akyumyaleyshen
accuracy	دقت	akyerasi
accurate	دقیق؛ راستین	akyerat
accurately	با دقت	akyeratli
accusation	اتهام	akyazeyshen / akyuzeyshen
accuse	متهم کردن؛ تهمت زدن	akyuz
accused	متهم	akyuzd
accustom	عادی کردن؛ خو دادن	akastam
ace	کلمات میید	eys
achieve	دست یافتن	achiv
achievement	کار بزرگ	achivmant
acid	اسید؛ اسیدی	asad
acknowledge	اقرار کردن	aknaalij
acknowledgment	اقرار؛ شهادت نامه	aknaalijmant
acme	نقطه کمال	akmi
acne	جوش؛ غرور جوانی	akni
acquaintance	معرفت؛ آشنا	akweyntans
acquainted	بلد؛ شناسا	akweyntid / akweynid
acquiesce	تن در دادن	akwies
acquire	اندوختن	akwaier
acquisition	اکتساب	akwazishen
acquittal	تبرئه؛ برائت ذمه	akwitel
acre	جریب	eyker
acrid	تند؛ گس	akrid
across	از عرض، سراسر	akros
act	عمل کردن، نقش بازی کردن	akt
action	عمل، اقدام	akshen
activate	فعال کردن	aktaveyt
activation	فعال‌سازی	aktaveyshen
active	فعال	aktiv
actively	فعالانه	aktivli
activist	کنشگر	aktavast / aktivist
activity	فعالیت	aktiviti
actor	بازیگر (مرد)	akter
actress	بازیگر (زن)	aktras
actual	حالی	akchawel / akshel
actually	در واقع	akchuali / akchli
acupuncture	سوزن درمانی؛ طب سوزنی	akyupangkcher
acute	حاد	akyut
acutely	بحدت	akyutli
acuteness	ذکاوت	akyutnas
ad	بلد؛ ضال	ad
adamant	یکدنده	adamant
adapt	تطبیق دادن	adapt
adaptation	انطباق	adapteyshen
add	اضافه کردن	ad
adder	افزیشگر؛ مار جعفری	ader
addicted	معتاد؛ افیونی	adiktid
