एक	یک (حرف تعریف نامعین)	ek
अबेकस	چرتکه	abekas
गणना-पट्टी	چرتکه	gananaa-pattii
छोड़ना	رها کردن؛ ترک کردن	chhoranaa
त्यागना	رها کردن؛ ترک کردن	tyaaganaa
परित्याग	ترک؛ رهاسازی	parityaag
त्याग	ترک؛ رهاسازی	tyaag
कमी	کاهش؛ فروکش	kamii
घटाव	کاهش؛ فروکش	ghataav
मठ	خانقاه	math
वर्णमाला	الفبا؛ مبانی اولیه	varnamaalaa
प्राथमिक ज्ञान	الفبا؛ مبانی اولیه	praathamik gyaan
पद त्यागना	کناره‌گیری کردن؛ واگذار کردن	pad tyaaganaa
सिंहासन छोड़ना	کناره‌گیری کردن؛ واگذار کردن	sinhaasan chhoranaa
उदर	شکم؛ بطن	udar
पेट	شکم؛ بطن	pet
उदरक	شکمی؛ بطنی	udarak
उदर सम्बन्धी	شکمی؛ بطنی	udar sambandhii
अपहरण करना	ربودن	apaharan karanaa
भगा ले जाना	ربودن	bhagaa le jaanaa
अपहरणकर्ता	آدمدزد؛ آدمربا	apaharanakartaa
अपवर्तनी	آدمدزد؛ آدمربا	apavartanii
स्थगन	بی تکلیفی	sthagan
रुकाव	بی تکلیفی	rukaav
स्थायी	وفا کننده	sthaayii
योग्यता	توانایی	yogyataa
क्षमता	توانایی	kshamataa
भयानक	خوار و زار	bhayaanak
नीच	خوار و زار	niich
उत्तेजित	افروخته	uttejit
प्रज्ज्वलित	افروخته	prajjvalit
योग्य	قادر	yogy
निपुण	قادر	nipun
निषेध	کف نفس	nishedh
आत्मत्याग	کف نفس	aatmatyaag
असामान्य	غیر عادی	asaamaany
सनकीपन	نابههنجاری	sanakiipan
अनियमितता	نابههنجاری	aniyamitataa
घर	بودباش	ghar
महल	بودباش	mahal
हटाना	لغو کردن	hataanaa
मिटा देना	لغو کردن	mitaa denaa
समापन	نسخ؛ برانداختگی	samaapan
उन्मूलन	نسخ؛ برانداختگی	unmuulan
घटिया	مکروه	ghatiyaa
भद्दा	مکروه	bhaddaa
जुगुप्सा	عمل شنیع	jugupsaa
