一个	یک (حرف تعریف نامعین)	yī gè
算盘	چرتکه	suàn pán
放弃	رها کردن؛ ترک کردن	fàng qì
抛弃	رها کردن؛ ترک کردن	pāo qì
减少	کاهش؛ فروکش	jiǎn shǎo
减轻	کاهش؛ فروکش	jiǎn qīng
大修道院	خانقاه	dà xiū dào yuàn
字母表	الفبا؛ مبانی اولیه	zì mǔ biǎo
基础知识	الفبا؛ مبانی اولیه	jī chǔ zhī shi
正式放弃	کناره‌گیری کردن؛ واگذار کردن	zhèng shì fàng qì
退位	کناره‌گیری کردن؛ واگذار کردن	tuì wèi
腹部	شکم؛ بطن	fù bù
腹部的	شکمی؛ بطنی	fù bù de
有腹鳍的	شکمی؛ بطنی	yǒu fù qí de
诱拐	ربودن	yòu guǎi
绑架	ربودن	bǎng jià
诱拐者	آدمدزد؛ آدمربا	yòu guǎi zhě
绑架者	آدمدزد؛ آدمربا	bǎng jià zhě
中止	بی تکلیفی	zhōng zhǐ
暂搁	بی تکلیفی	zàn gē
永久的	وفا کننده	yǒng jiǔ de
持久的	وفا کننده	chí jiǔ de
能力	توانایی	néng lì
才干	توانایی	cái gàn
绝望无助的	خوار و زار	jué wàng wú zhù de
可怜的	خوار و زار	kě lián de
着火的	افروخته	zháo huǒ de
闪亮的	افروخته	shǎn liàng de
能干的	قادر	néng gàn de
能够的	قادر	néng gòu de
舍弃	کف نفس	shě qì
反常的	غیر عادی	fǎn cháng de
不规则的	غیر عادی	bù guī zé de
反常	نابههنجاری	fǎn cháng
畸形	نابههنجاری	jī xíng
住所	بودباش	zhù suǒ
住处	بودباش	zhù chù
废止	لغو کردن	fèi zhǐ
革除	لغو کردن	gé chú
废除	نسخ؛ برانداختگی	fèi chú
废奴运动	نسخ؛ برانداختگی	fèi nú yùn dòng
讨厌的	مکروه	tǎo yàn de
令人憎恶的	مکروه	lìng rén zēng è de
厌恶	عمل شنیع	yàn wù
痛恶	عمل شنیع	tòng wù
流产	سقط کردن؛ ریشه نکردن	liú chǎn
中途失败	سقط کردن؛ ریشه نکردن	zhōng tú shī bài
堕胎	سقط جنین	duò tāi
流产的	عقیم	liú chǎn de
堕胎的	عقیم	duò tāi de
大量存在	زیاد بودن؛ وفور داشتن	dà liàng cún zài
富于	زیاد بودن؛ وفور داشتن	fù yú
在周围	درباره، حدوداً	zài zhōu wéi
大约	درباره، حدوداً	dà yuē
在上方	بالای، بالاتر	zài shǎng fāng
超出	بالای، بالاتر	chāo chū
亚伯拉罕	ابراهیم؛ ابراهیم پیامبر	yà bó lā hǎn
磨擦	خراش؛ سیش	mó cā
磨损	خراش؛ سیش	mó sǔn
删节的	مجمل؛ تلخیص شده	shān jié de
削减的	مجمل؛ تلخیص شده	xuē jiǎn de
往国外	خارج از کشور	wǎng guó wài
到室外	خارج از کشور	dào shì wài
突然的	تند؛ ناگهان	tū rán de
唐突的	تند؛ ناگهان	táng tū de
突然地	بی مقدمه	tū rán de
唐突地	بی مقدمه	táng tū de
脓肿	آبسه	nóng zhǒng
缺席	غیبت	quē xí
缺乏	غیبت	quē fá
缺席的	غایب	quē xí de
不在的	غایب	bù zài de
缺席者	غیب؛ غیابی	quē xí zhě
不在者	غیب؛ غیابی	bù zài zhě
绝对的	مطلق؛ محض	jué duì de
专制的	مطلق؛ محض	zhuān zhì de
完全地	مطلقا؛ مطلقاً	wán quán de
绝对地	مطلقا؛ مطلقاً	jué duì de
吸收	جذب کردن	xī shōu
